"year" "cites" "Name" "Department"
"534" 2015 89 "Mark Souva" "Political Science"
"535" 2016 112 "Mark Souva" "Political Science"
"536" 2017 107 "Mark Souva" "Political Science"
"537" 2018 112 "Mark Souva" "Political Science"
"538" 2019 76 "Mark Souva" "Political Science"
"539" 2020 8 "Mark Souva" "Political Science"
"540" 2001 6 "Christopher Reenock" "Political Science"
"541" 2002 5 "Christopher Reenock" "Political Science"
"542" 2003 7 "Christopher Reenock" "Political Science"
"543" 2004 8 "Christopher Reenock" "Political Science"
"544" 2005 25 "Christopher Reenock" "Political Science"
"545" 2006 27 "Christopher Reenock" "Political Science"
"546" 2007 40 "Christopher Reenock" "Political Science"
"547" 2008 38 "Christopher Reenock" "Political Science"
"548" 2009 37 "Christopher Reenock" "Political Science"
"549" 2010 56 "Christopher Reenock" "Political Science"
"550" 2011 54 "Christopher Reenock" "Political Science"
"551" 2012 62 "Christopher Reenock" "Political Science"
"552" 2013 72 "Christopher Reenock" "Political Science"
"553" 2014 61 "Christopher Reenock" "Political Science"
"554" 2015 82 "Christopher Reenock" "Political Science"
"555" 2016 98 "Christopher Reenock" "Political Science"
"556" 2017 69 "Christopher Reenock" "Political Science"
"557" 2018 69 "Christopher Reenock" "Political Science"
"558" 2019 74 "Christopher Reenock" "Political Science"
"559" 2020 14 "Christopher Reenock" "Political Science"
"560" 2014 9 "Carlisle Rainey" "Political Science"
"561" 2015 51 "Carlisle Rainey" "Political Science"
"562" 2016 59 "Carlisle Rainey" "Political Science"
"563" 2017 89 "Carlisle Rainey" "Political Science"
"564" 2018 122 "Carlisle Rainey" "Political Science"
"565" 2019 149 "Carlisle Rainey" "Political Science"
"566" 2020 20 "Carlisle Rainey" "Political Science"
"567" 2012 3 "Matthew Pietryka" "Political Science"
"568" 2013 7 "Matthew Pietryka" "Political Science"
"569" 2014 22 "Matthew Pietryka" "Political Science"
"570" 2015 18 "Matthew Pietryka" "Political Science"
"571" 2016 36 "Matthew Pietryka" "Political Science"
"572" 2017 33 "Matthew Pietryka" "Political Science"
"573" 2018 32 "Matthew Pietryka" "Political Science"
"574" 2019 42 "Matthew Pietryka" "Political Science"
"575" 2020 11 "Matthew Pietryka" "Political Science"
"576" 2015 1 "Kai Ou" "Political Science"
"577" 2016 5 "Kai Ou" "Political Science"
"578" 2017 5 "Kai Ou" "Political Science"
"579" 2018 3 "Kai Ou" "Political Science"
"580" 2019 14 "Kai Ou" "Political Science"
"581" 2020 3 "Kai Ou" "Political Science"
"582" 2007 11 "Holger Kern" "Political Science"
"583" 2008 18 "Holger Kern" "Political Science"
"584" 2009 27 "Holger Kern" "Political Science"
"585" 2010 33 "Holger Kern" "Political Science"
"586" 2011 57 "Holger Kern" "Political Science"
"587" 2012 66 "Holger Kern" "Political Science"
"588" 2013 70 "Holger Kern" "Political Science"
"589" 2014 80 "Holger Kern" "Political Science"
"590" 2015 93 "Holger Kern" "Political Science"
"591" 2016 115 "Holger Kern" "Political Science"
"592" 2017 131 "Holger Kern" "Political Science"
"593" 2018 173 "Holger Kern" "Political Science"
"594" 2019 178 "Holger Kern" "Political Science"
"595" 2020 21 "Holger Kern" "Political Science"
"596" 1995 4 "Robert Jackson" "Political Science"
"597" 1996 6 "Robert Jackson" "Political Science"
"598" 1997 8 "Robert Jackson" "Political Science"
"599" 1998 12 "Robert Jackson" "Political Science"
"600" 1999 17 "Robert Jackson" "Political Science"
"601" 2000 17 "Robert Jackson" "Political Science"
"602" 2001 18 "Robert Jackson" "Political Science"
"603" 2002 21 "Robert Jackson" "Political Science"
"604" 2003 36 "Robert Jackson" "Political Science"
"605" 2004 35 "Robert Jackson" "Political Science"
"606" 2005 48 "Robert Jackson" "Political Science"
"607" 2006 62 "Robert Jackson" "Political Science"
"608" 2007 75 "Robert Jackson" "Political Science"
"609" 2008 57 "Robert Jackson" "Political Science"
"610" 2009 108 "Robert Jackson" "Political Science"
"611" 2010 96 "Robert Jackson" "Political Science"
"612" 2011 99 "Robert Jackson" "Political Science"
"613" 2012 90 "Robert Jackson" "Political Science"
"614" 2013 89 "Robert Jackson" "Political Science"
"615" 2014 99 "Robert Jackson" "Political Science"
"616" 2015 76 "Robert Jackson" "Political Science"
"617" 2016 75 "Robert Jackson" "Political Science"
"618" 2017 62 "Robert Jackson" "Political Science"
"619" 2018 59 "Robert Jackson" "Political Science"
"620" 2019 88 "Robert Jackson" "Political Science"
"621" 2020 3 "Robert Jackson" "Political Science"
"622" 2013 2 "Hans Hassell" "Political Science"
"623" 2014 11 "Hans Hassell" "Political Science"
"624" 2015 12 "Hans Hassell" "Political Science"
"625" 2016 25 "Hans Hassell" "Political Science"
"626" 2017 36 "Hans Hassell" "Political Science"
"627" 2018 77 "Hans Hassell" "Political Science"
"628" 2019 87 "Hans Hassell" "Political Science"
"629" 2020 13 "Hans Hassell" "Political Science"
"630" 2004 4 "Jens Grosser" "Political Science"
"631" 2005 1 "Jens Grosser" "Political Science"
"632" 2006 11 "Jens Grosser" "Political Science"
"633" 2007 15 "Jens Grosser" "Political Science"
"634" 2008 14 "Jens Grosser" "Political Science"
"635" 2009 25 "Jens Grosser" "Political Science"
"636" 2010 34 "Jens Grosser" "Political Science"
"637" 2011 27 "Jens Grosser" "Political Science"
"638" 2012 37 "Jens Grosser" "Political Science"
"639" 2013 25 "Jens Grosser" "Political Science"
"640" 2014 54 "Jens Grosser" "Political Science"
"641" 2015 45 "Jens Grosser" "Political Science"
"642" 2016 63 "Jens Grosser" "Political Science"
"643" 2017 51 "Jens Grosser" "Political Science"
"644" 2018 57 "Jens Grosser" "Political Science"
"645" 2019 68 "Jens Grosser" "Political Science"
"646" 2020 5 "Jens Grosser" "Political Science"
"647" 2003 15 "Brad Gomez" "Political Science"
"648" 2004 12 "Brad Gomez" "Political Science"
"649" 2005 18 "Brad Gomez" "Political Science"
"650" 2006 33 "Brad Gomez" "Political Science"
"651" 2007 53 "Brad Gomez" "Political Science"
"652" 2008 61 "Brad Gomez" "Political Science"
"653" 2009 61 "Brad Gomez" "Political Science"
"654" 2010 84 "Brad Gomez" "Political Science"
"655" 2011 82 "Brad Gomez" "Political Science"
"656" 2012 126 "Brad Gomez" "Political Science"
"657" 2013 121 "Brad Gomez" "Political Science"
"658" 2014 155 "Brad Gomez" "Political Science"
"659" 2015 171 "Brad Gomez" "Political Science"
"660" 2016 178 "Brad Gomez" "Political Science"
"661" 2017 174 "Brad Gomez" "Political Science"
"662" 2018 161 "Brad Gomez" "Political Science"
"663" 2019 161 "Brad Gomez" "Political Science"
"664" 2020 41 "Brad Gomez" "Political Science"
"665" 2006 9 "Sean Ehrlick" "Political Science"
"666" 2007 13 "Sean Ehrlick" "Political Science"
"667" 2008 34 "Sean Ehrlick" "Political Science"
"668" 2009 49 "Sean Ehrlick" "Political Science"
"669" 2010 67 "Sean Ehrlick" "Political Science"
"670" 2011 61 "Sean Ehrlick" "Political Science"
"671" 2012 62 "Sean Ehrlick" "Political Science"
"672" 2013 69 "Sean Ehrlick" "Political Science"
"673" 2014 107 "Sean Ehrlick" "Political Science"
"674" 2015 76 "Sean Ehrlick" "Political Science"
"675" 2016 68 "Sean Ehrlick" "Political Science"
"676" 2017 71 "Sean Ehrlick" "Political Science"
"677" 2018 76 "Sean Ehrlick" "Political Science"
"678" 2019 92 "Sean Ehrlick" "Political Science"
"679" 2020 17 "Sean Ehrlick" "Political Science"
"680" 2010 1 "Marina Duque" "Political Science"
"681" 2011 3 "Marina Duque" "Political Science"
"682" 2012 2 "Marina Duque" "Political Science"
"683" 2013 5 "Marina Duque" "Political Science"
"684" 2014 6 "Marina Duque" "Political Science"
"685" 2015 13 "Marina Duque" "Political Science"
"686" 2016 6 "Marina Duque" "Political Science"
"687" 2017 10 "Marina Duque" "Political Science"
"688" 2018 9 "Marina Duque" "Political Science"
"689" 2019 26 "Marina Duque" "Political Science"
"690" 2020 3 "Marina Duque" "Political Science"
"691" 2009 3 "Amanda Driscoll" "Political Science"
"692" 2010 1 "Amanda Driscoll" "Political Science"
"693" 2011 3 "Amanda Driscoll" "Political Science"
"694" 2012 14 "Amanda Driscoll" "Political Science"
"695" 2013 19 "Amanda Driscoll" "Political Science"
"696" 2014 17 "Amanda Driscoll" "Political Science"
"697" 2015 30 "Amanda Driscoll" "Political Science"
"698" 2016 34 "Amanda Driscoll" "Political Science"
"699" 2017 41 "Amanda Driscoll" "Political Science"
"700" 2018 31 "Amanda Driscoll" "Political Science"
"701" 2019 55 "Amanda Driscoll" "Political Science"
"702" 2020 1 "Amanda Driscoll" "Political Science"
"703" 2008 2 "Eric Coleman" "Political Science"
"704" 2009 29 "Eric Coleman" "Political Science"
"705" 2010 36 "Eric Coleman" "Political Science"
"706" 2011 44 "Eric Coleman" "Political Science"
"707" 2012 69 "Eric Coleman" "Political Science"
"708" 2013 81 "Eric Coleman" "Political Science"
"709" 2014 87 "Eric Coleman" "Political Science"
"710" 2015 78 "Eric Coleman" "Political Science"
"711" 2016 76 "Eric Coleman" "Political Science"
"712" 2017 85 "Eric Coleman" "Political Science"
"713" 2018 68 "Eric Coleman" "Political Science"
"714" 2019 72 "Eric Coleman" "Political Science"
"715" 2020 15 "Eric Coleman" "Political Science"
"716" 2013 1 "Inken Von Borzyskowski" "Political Science"
"717" 2014 1 "Inken Von Borzyskowski" "Political Science"
"718" 2015 7 "Inken Von Borzyskowski" "Political Science"
"719" 2016 8 "Inken Von Borzyskowski" "Political Science"
"720" 2017 8 "Inken Von Borzyskowski" "Political Science"
"721" 2018 14 "Inken Von Borzyskowski" "Political Science"
"722" 2019 45 "Inken Von Borzyskowski" "Political Science"
"723" 2020 18 "Inken Von Borzyskowski" "Political Science"
"724" 1988 39 "William Berry" "Political Science"
"725" 1989 37 "William Berry" "Political Science"
"726" 1990 53 "William Berry" "Political Science"
"727" 1991 78 "William Berry" "Political Science"
"728" 1992 60 "William Berry" "Political Science"
"729" 1993 71 "William Berry" "Political Science"
"730" 1994 79 "William Berry" "Political Science"
"731" 1995 82 "William Berry" "Political Science"
"732" 1996 105 "William Berry" "Political Science"
"733" 1997 104 "William Berry" "Political Science"
"734" 1998 120 "William Berry" "Political Science"
"735" 1999 149 "William Berry" "Political Science"
"736" 2000 135 "William Berry" "Political Science"
"737" 2001 193 "William Berry" "Political Science"
"738" 2002 226 "William Berry" "Political Science"
"739" 2003 357 "William Berry" "Political Science"
"740" 2004 367 "William Berry" "Political Science"
"741" 2005 422 "William Berry" "Political Science"
"742" 2006 436 "William Berry" "Political Science"
"743" 2007 521 "William Berry" "Political Science"
"744" 2008 524 "William Berry" "Political Science"
"745" 2009 596 "William Berry" "Political Science"
"746" 2010 642 "William Berry" "Political Science"
"747" 2011 596 "William Berry" "Political Science"
"748" 2012 749 "William Berry" "Political Science"
"749" 2013 844 "William Berry" "Political Science"
"750" 2014 914 "William Berry" "Political Science"
"751" 2015 923 "William Berry" "Political Science"
"752" 2016 827 "William Berry" "Political Science"
"753" 2017 838 "William Berry" "Political Science"
"754" 2018 896 "William Berry" "Political Science"
"755" 2019 898 "William Berry" "Political Science"
"756" 2020 128 "William Berry" "Political Science"
"757" 2011 1 "Quintin Beazer" "Political Science"
"758" 2012 0 "Quintin Beazer" "Political Science"
"759" 2013 2 "Quintin Beazer" "Political Science"
"760" 2014 4 "Quintin Beazer" "Political Science"
"761" 2015 2 "Quintin Beazer" "Political Science"
"762" 2016 12 "Quintin Beazer" "Political Science"
"763" 2017 14 "Quintin Beazer" "Political Science"
"764" 2018 15 "Quintin Beazer" "Political Science"
"765" 2019 24 "Quintin Beazer" "Political Science"
"766" 2020 9 "Quintin Beazer" "Political Science"
"767" 1990 5 "Charles Barrilleaux" "Political Science"
"768" 1991 14 "Charles Barrilleaux" "Political Science"
"769" 1992 9 "Charles Barrilleaux" "Political Science"
"770" 1993 15 "Charles Barrilleaux" "Political Science"
"771" 1994 10 "Charles Barrilleaux" "Political Science"
"772" 1995 24 "Charles Barrilleaux" "Political Science"
"773" 1996 20 "Charles Barrilleaux" "Political Science"
"774" 1997 32 "Charles Barrilleaux" "Political Science"
"775" 1998 22 "Charles Barrilleaux" "Political Science"
"776" 1999 37 "Charles Barrilleaux" "Political Science"
"777" 2000 17 "Charles Barrilleaux" "Political Science"
"778" 2001 31 "Charles Barrilleaux" "Political Science"
"779" 2002 37 "Charles Barrilleaux" "Political Science"
"780" 2003 50 "Charles Barrilleaux" "Political Science"
"781" 2004 61 "Charles Barrilleaux" "Political Science"
"782" 2005 70 "Charles Barrilleaux" "Political Science"
"783" 2006 69 "Charles Barrilleaux" "Political Science"
"784" 2007 93 "Charles Barrilleaux" "Political Science"
"785" 2008 72 "Charles Barrilleaux" "Political Science"
"786" 2009 81 "Charles Barrilleaux" "Political Science"
"787" 2010 73 "Charles Barrilleaux" "Political Science"
"788" 2011 96 "Charles Barrilleaux" "Political Science"
"789" 2012 91 "Charles Barrilleaux" "Political Science"
"790" 2013 101 "Charles Barrilleaux" "Political Science"
"791" 2014 92 "Charles Barrilleaux" "Political Science"
"792" 2015 100 "Charles Barrilleaux" "Political Science"
"793" 2016 104 "Charles Barrilleaux" "Political Science"
"794" 2017 131 "Charles Barrilleaux" "Political Science"
"795" 2018 130 "Charles Barrilleaux" "Political Science"
"796" 2019 129 "Charles Barrilleaux" "Political Science"
"797" 2020 18 "Charles Barrilleaux" "Political Science"
"798" 2015 9 "Doug Ahler" "Political Science"
"799" 2016 29 "Doug Ahler" "Political Science"
"800" 2017 27 "Doug Ahler" "Political Science"
"801" 2018 66 "Doug Ahler" "Political Science"
"802" 2019 84 "Doug Ahler" "Political Science"
"803" 2020 8 "Doug Ahler" "Political Science"
"804" 2015 4 "Bradford Johnson" "Geography"
"805" 2016 1 "Bradford Johnson" "Geography"
"806" 2017 2 "Bradford Johnson" "Geography"
"807" 2018 5 "Bradford Johnson" "Geography"
"808" 2019 7 "Bradford Johnson" "Geography"
"809" 2020 1 "Bradford Johnson" "Geography"
"810" 2005 3 "Tingting Zhao" "Geography"
"811" 2006 1 "Tingting Zhao" "Geography"
"812" 2007 3 "Tingting Zhao" "Geography"
"813" 2008 6 "Tingting Zhao" "Geography"
"814" 2009 7 "Tingting Zhao" "Geography"
"815" 2010 11 "Tingting Zhao" "Geography"
"816" 2011 17 "Tingting Zhao" "Geography"
"817" 2012 44 "Tingting Zhao" "Geography"
"818" 2013 38 "Tingting Zhao" "Geography"
"819" 2014 38 "Tingting Zhao" "Geography"
"820" 2015 46 "Tingting Zhao" "Geography"
"821" 2016 68 "Tingting Zhao" "Geography"
"822" 2017 64 "Tingting Zhao" "Geography"
"823" 2018 82 "Tingting Zhao" "Geography"
"824" 2019 60 "Tingting Zhao" "Geography"
"825" 2020 22 "Tingting Zhao" "Geography"
"826" 2014 2 "Sandy Wong" "Geography"
"827" 2015 6 "Sandy Wong" "Geography"
"828" 2016 9 "Sandy Wong" "Geography"
"829" 2017 19 "Sandy Wong" "Geography"
"830" 2018 28 "Sandy Wong" "Geography"
"831" 2019 21 "Sandy Wong" "Geography"
"832" 2020 7 "Sandy Wong" "Geography"
"833" 2008 5 "Christopher Uejio" "Geography"
"834" 2009 25 "Christopher Uejio" "Geography"
"835" 2010 38 "Christopher Uejio" "Geography"
"836" 2011 44 "Christopher Uejio" "Geography"
"837" 2012 48 "Christopher Uejio" "Geography"
"838" 2013 100 "Christopher Uejio" "Geography"
"839" 2014 133 "Christopher Uejio" "Geography"
"840" 2015 153 "Christopher Uejio" "Geography"
"841" 2016 202 "Christopher Uejio" "Geography"
"842" 2017 203 "Christopher Uejio" "Geography"
"843" 2018 226 "Christopher Uejio" "Geography"
"844" 2019 278 "Christopher Uejio" "Geography"
"845" 2020 51 "Christopher Uejio" "Geography"
"846" 2012 3 "Sage Ponder" "Geography"
"847" 2013 9 "Sage Ponder" "Geography"
"848" 2014 17 "Sage Ponder" "Geography"
"849" 2015 15 "Sage Ponder" "Geography"
"850" 2016 12 "Sage Ponder" "Geography"
"851" 2017 18 "Sage Ponder" "Geography"
"852" 2018 12 "Sage Ponder" "Geography"
"853" 2019 27 "Sage Ponder" "Geography"
"854" 2020 4 "Sage Ponder" "Geography"
"855" 2010 8 "Stephanie Pau" "Geography"
"856" 2011 14 "Stephanie Pau" "Geography"
"857" 2012 54 "Stephanie Pau" "Geography"
"858" 2013 155 "Stephanie Pau" "Geography"
"859" 2014 215 "Stephanie Pau" "Geography"
"860" 2015 235 "Stephanie Pau" "Geography"
"861" 2016 226 "Stephanie Pau" "Geography"
"862" 2017 214 "Stephanie Pau" "Geography"
"863" 2018 237 "Stephanie Pau" "Geography"
"864" 2019 299 "Stephanie Pau" "Geography"
"865" 2020 71 "Stephanie Pau" "Geography"
"866" 1998 12 "Victor Mesev" "Geography"
"867" 1999 8 "Victor Mesev" "Geography"
"868" 2000 33 "Victor Mesev" "Geography"
"869" 2001 39 "Victor Mesev" "Geography"
"870" 2002 36 "Victor Mesev" "Geography"
"871" 2003 54 "Victor Mesev" "Geography"
"872" 2004 63 "Victor Mesev" "Geography"
"873" 2005 60 "Victor Mesev" "Geography"
"874" 2006 52 "Victor Mesev" "Geography"
"875" 2007 71 "Victor Mesev" "Geography"
"876" 2008 81 "Victor Mesev" "Geography"
"877" 2009 59 "Victor Mesev" "Geography"
"878" 2010 78 "Victor Mesev" "Geography"
"879" 2011 71 "Victor Mesev" "Geography"
"880" 2012 70 "Victor Mesev" "Geography"
"881" 2013 72 "Victor Mesev" "Geography"
"882" 2014 82 "Victor Mesev" "Geography"
"883" 2015 79 "Victor Mesev" "Geography"
"884" 2016 80 "Victor Mesev" "Geography"
"885" 2017 68 "Victor Mesev" "Geography"
"886" 2018 70 "Victor Mesev" "Geography"
"887" 2019 72 "Victor Mesev" "Geography"
"888" 2020 14 "Victor Mesev" "Geography"
"889" 2009 1 "Tyler McCreary" "Geography"
"890" 2010 3 "Tyler McCreary" "Geography"
"891" 2011 2 "Tyler McCreary" "Geography"
"892" 2012 5 "Tyler McCreary" "Geography"
"893" 2013 21 "Tyler McCreary" "Geography"
"894" 2014 14 "Tyler McCreary" "Geography"
"895" 2015 25 "Tyler McCreary" "Geography"
"896" 2016 34 "Tyler McCreary" "Geography"
"897" 2017 30 "Tyler McCreary" "Geography"
"898" 2018 54 "Tyler McCreary" "Geography"
"899" 2019 59 "Tyler McCreary" "Geography"
"900" 2020 11 "Tyler McCreary" "Geography"
"901" 2006 32 "Sarah Lester" "Geography"
"902" 2007 58 "Sarah Lester" "Geography"
"903" 2008 87 "Sarah Lester" "Geography"
"904" 2009 127 "Sarah Lester" "Geography"
"905" 2010 189 "Sarah Lester" "Geography"
"906" 2011 310 "Sarah Lester" "Geography"
"907" 2012 439 "Sarah Lester" "Geography"
"908" 2013 641 "Sarah Lester" "Geography"
"909" 2014 766 "Sarah Lester" "Geography"
"910" 2015 851 "Sarah Lester" "Geography"
"911" 2016 757 "Sarah Lester" "Geography"
"912" 2017 895 "Sarah Lester" "Geography"
"913" 2018 935 "Sarah Lester" "Geography"
"914" 2019 969 "Sarah Lester" "Geography"
"915" 2020 216 "Sarah Lester" "Geography"
"916" 2003 22 "Mark Horner" "Geography"
"917" 2004 39 "Mark Horner" "Geography"
"918" 2005 60 "Mark Horner" "Geography"
"919" 2006 51 "Mark Horner" "Geography"
"920" 2007 90 "Mark Horner" "Geography"
"921" 2008 116 "Mark Horner" "Geography"
"922" 2009 138 "Mark Horner" "Geography"
"923" 2010 182 "Mark Horner" "Geography"
"924" 2011 176 "Mark Horner" "Geography"
"925" 2012 304 "Mark Horner" "Geography"
"926" 2013 279 "Mark Horner" "Geography"
"927" 2014 383 "Mark Horner" "Geography"
"928" 2015 368 "Mark Horner" "Geography"
"929" 2016 442 "Mark Horner" "Geography"
"930" 2017 408 "Mark Horner" "Geography"
"931" 2018 437 "Mark Horner" "Geography"
"932" 2019 423 "Mark Horner" "Geography"
"933" 2020 96 "Mark Horner" "Geography"
"934" 2015 2 "Mabel Gergan" "Geography"
"935" 2016 4 "Mabel Gergan" "Geography"
"936" 2017 18 "Mabel Gergan" "Geography"
"937" 2018 23 "Mabel Gergan" "Geography"
"938" 2019 29 "Mabel Gergan" "Geography"
"939" 2020 11 "Mabel Gergan" "Geography"
"940" 1991 39 "James Elsner" "Geography"
"941" 1992 42 "James Elsner" "Geography"
"942" 1993 54 "James Elsner" "Geography"
"943" 1994 85 "James Elsner" "Geography"
"944" 1995 86 "James Elsner" "Geography"
"945" 1996 102 "James Elsner" "Geography"
"946" 1997 85 "James Elsner" "Geography"
"947" 1998 87 "James Elsner" "Geography"
"948" 1999 103 "James Elsner" "Geography"
"949" 2000 133 "James Elsner" "Geography"
"950" 2001 180 "James Elsner" "Geography"
"951" 2002 135 "James Elsner" "Geography"
"952" 2003 145 "James Elsner" "Geography"
"953" 2004 246 "James Elsner" "Geography"
"954" 2005 181 "James Elsner" "Geography"
"955" 2006 265 "James Elsner" "Geography"
"956" 2007 359 "James Elsner" "Geography"
"957" 2008 339 "James Elsner" "Geography"
"958" 2009 413 "James Elsner" "Geography"
"959" 2010 566 "James Elsner" "Geography"
"960" 2011 526 "James Elsner" "Geography"
"961" 2012 536 "James Elsner" "Geography"
"962" 2013 569 "James Elsner" "Geography"
"963" 2014 552 "James Elsner" "Geography"
"964" 2015 657 "James Elsner" "Geography"
"965" 2016 657 "James Elsner" "Geography"
"966" 2017 566 "James Elsner" "Geography"
"967" 2018 643 "James Elsner" "Geography"
"968" 2019 652 "James Elsner" "Geography"
"969" 2020 103 "James Elsner" "Geography"
"970" 2017 4 "Cynthia Yang" "Economics"
"971" 2018 8 "Cynthia Yang" "Economics"
"972" 2019 4 "Cynthia Yang" "Economics"
"973" 2020 1 "Cynthia Yang" "Economics"
"974" 2005 2 "Dmitry Ryvkin" "Economics"
"975" 2006 4 "Dmitry Ryvkin" "Economics"
"976" 2007 2 "Dmitry Ryvkin" "Economics"
"977" 2008 8 "Dmitry Ryvkin" "Economics"
"978" 2009 5 "Dmitry Ryvkin" "Economics"
"979" 2010 19 "Dmitry Ryvkin" "Economics"
"980" 2011 17 "Dmitry Ryvkin" "Economics"
"981" 2012 24 "Dmitry Ryvkin" "Economics"
"982" 2013 53 "Dmitry Ryvkin" "Economics"
"983" 2014 61 "Dmitry Ryvkin" "Economics"
"984" 2015 91 "Dmitry Ryvkin" "Economics"
"985" 2016 73 "Dmitry Ryvkin" "Economics"
"986" 2017 95 "Dmitry Ryvkin" "Economics"
"987" 2018 116 "Dmitry Ryvkin" "Economics"
"988" 2019 155 "Dmitry Ryvkin" "Economics"
"989" 2020 32 "Dmitry Ryvkin" "Economics"
"990" 1996 6 "Patrick Mason" "Economics"
"991" 1997 14 "Patrick Mason" "Economics"
"992" 1998 22 "Patrick Mason" "Economics"
"993" 1999 25 "Patrick Mason" "Economics"
"994" 2000 37 "Patrick Mason" "Economics"
"995" 2001 47 "Patrick Mason" "Economics"
"996" 2002 53 "Patrick Mason" "Economics"
"997" 2003 66 "Patrick Mason" "Economics"
"998" 2004 63 "Patrick Mason" "Economics"
"999" 2005 67 "Patrick Mason" "Economics"
"1000" 2006 79 "Patrick Mason" "Economics"
"1001" 2007 96 "Patrick Mason" "Economics"
"1002" 2008 98 "Patrick Mason" "Economics"
"1003" 2009 97 "Patrick Mason" "Economics"
"1004" 2010 110 "Patrick Mason" "Economics"
"1005" 2011 98 "Patrick Mason" "Economics"
"1006" 2012 106 "Patrick Mason" "Economics"
"1007" 2013 111 "Patrick Mason" "Economics"
"1008" 2014 120 "Patrick Mason" "Economics"
"1009" 2015 114 "Patrick Mason" "Economics"
"1010" 2016 129 "Patrick Mason" "Economics"
"1011" 2017 137 "Patrick Mason" "Economics"
"1012" 2018 111 "Patrick Mason" "Economics"
"1013" 2019 127 "Patrick Mason" "Economics"
"1014" 2020 9 "Patrick Mason" "Economics"
"1015" 1992 5 "Milton Marquis" "Economics"
"1016" 1993 4 "Milton Marquis" "Economics"
"1017" 1994 10 "Milton Marquis" "Economics"
"1018" 1995 13 "Milton Marquis" "Economics"
"1019" 1996 15 "Milton Marquis" "Economics"
"1020" 1997 21 "Milton Marquis" "Economics"
"1021" 1998 20 "Milton Marquis" "Economics"
"1022" 1999 22 "Milton Marquis" "Economics"
"1023" 2000 30 "Milton Marquis" "Economics"
"1024" 2001 31 "Milton Marquis" "Economics"
"1025" 2002 28 "Milton Marquis" "Economics"
"1026" 2003 42 "Milton Marquis" "Economics"
"1027" 2004 42 "Milton Marquis" "Economics"
"1028" 2005 33 "Milton Marquis" "Economics"
"1029" 2006 38 "Milton Marquis" "Economics"
"1030" 2007 56 "Milton Marquis" "Economics"
"1031" 2008 37 "Milton Marquis" "Economics"
"1032" 2009 69 "Milton Marquis" "Economics"
"1033" 2010 72 "Milton Marquis" "Economics"
"1034" 2011 73 "Milton Marquis" "Economics"
"1035" 2012 60 "Milton Marquis" "Economics"
"1036" 2013 87 "Milton Marquis" "Economics"
"1037" 2014 51 "Milton Marquis" "Economics"
"1038" 2015 58 "Milton Marquis" "Economics"
"1039" 2016 49 "Milton Marquis" "Economics"
"1040" 2017 42 "Milton Marquis" "Economics"
"1041" 2018 52 "Milton Marquis" "Economics"
"1042" 2019 50 "Milton Marquis" "Economics"
"1043" 2020 4 "Milton Marquis" "Economics"
"1044" 2009 1 "R. Vijay Krishna" "Economics"
"1045" 2010 0 "R. Vijay Krishna" "Economics"
"1046" 2011 1 "R. Vijay Krishna" "Economics"
"1047" 2012 0 "R. Vijay Krishna" "Economics"
"1048" 2013 2 "R. Vijay Krishna" "Economics"
"1049" 2014 1 "R. Vijay Krishna" "Economics"
"1050" 2015 1 "R. Vijay Krishna" "Economics"
"1051" 2016 1 "R. Vijay Krishna" "Economics"
"1052" 2017 0 "R. Vijay Krishna" "Economics"
"1053" 2018 1 "R. Vijay Krishna" "Economics"
"1054" 2019 2 "R. Vijay Krishna" "Economics"
"1055" 2012 3 "Carl Kitches" "Economics"
"1056" 2013 2 "Carl Kitches" "Economics"
"1057" 2014 12 "Carl Kitches" "Economics"
"1058" 2015 16 "Carl Kitches" "Economics"
"1059" 2016 28 "Carl Kitches" "Economics"
"1060" 2017 35 "Carl Kitches" "Economics"
"1061" 2018 58 "Carl Kitches" "Economics"
"1062" 2019 56 "Carl Kitches" "Economics"
"1063" 2020 18 "Carl Kitches" "Economics"
"1064" 1991 37 "Keith Ihlanfeldt" "Economics"
"1065" 1992 26 "Keith Ihlanfeldt" "Economics"
"1066" 1993 36 "Keith Ihlanfeldt" "Economics"
"1067" 1994 40 "Keith Ihlanfeldt" "Economics"
"1068" 1995 63 "Keith Ihlanfeldt" "Economics"
"1069" 1996 94 "Keith Ihlanfeldt" "Economics"
"1070" 1997 99 "Keith Ihlanfeldt" "Economics"
"1071" 1998 157 "Keith Ihlanfeldt" "Economics"
"1072" 1999 150 "Keith Ihlanfeldt" "Economics"
"1073" 2000 174 "Keith Ihlanfeldt" "Economics"
"1074" 2001 208 "Keith Ihlanfeldt" "Economics"
"1075" 2002 182 "Keith Ihlanfeldt" "Economics"
"1076" 2003 226 "Keith Ihlanfeldt" "Economics"
"1077" 2004 293 "Keith Ihlanfeldt" "Economics"
"1078" 2005 258 "Keith Ihlanfeldt" "Economics"
"1079" 2006 312 "Keith Ihlanfeldt" "Economics"
"1080" 2007 314 "Keith Ihlanfeldt" "Economics"
"1081" 2008 366 "Keith Ihlanfeldt" "Economics"
"1082" 2009 350 "Keith Ihlanfeldt" "Economics"
"1083" 2010 394 "Keith Ihlanfeldt" "Economics"
"1084" 2011 373 "Keith Ihlanfeldt" "Economics"
"1085" 2012 375 "Keith Ihlanfeldt" "Economics"
"1086" 2013 427 "Keith Ihlanfeldt" "Economics"
"1087" 2014 409 "Keith Ihlanfeldt" "Economics"
